n;q;ms;burn_in_iter:2;max_b:8;min_b:3;iter:1;max_n:6000
900;4;0.691715
900;5;0.792019
900;6;0.779375
900;7;0.938355
900;8;0.934503
900;0;1.47915
200;3;0.0108144
200;4;0.0115386
200;5;0.0139621
200;6;0.0132469
200;7;0.0139445
200;8;0.0133766
200;0;0.0172675
300;3;0.0298183
300;4;0.0328913
300;5;0.0329924
300;6;0.0395977
300;7;0.0396502
300;8;0.03969
300;0;0.0544775
400;3;0.0642226
400;4;0.0724617
400;5;0.0722734
400;6;0.0887503
400;7;0.0887133
400;8;0.0892303
400;0;0.12574
500;3;0.114244
500;4;0.135248
500;5;0.135095
500;6;0.165422
500;7;0.165303
500;8;0.165408
500;0;0.242871
600;3;0.206688
600;4;0.200636
600;5;0.2241
600;6;0.224001
600;7;0.278487
600;8;0.278744
600;0;0.420214
700;3;0.349249
700;4;0.319991
700;5;0.353508
700;6;0.354195
700;7;0.4363
700;8;0.43652
700;0;0.669355
800;3;0.557448
800;4;0.486516
800;5;0.53832
800;6;0.538829
800;7;0.662861
800;8;0.655883
800;0;1.02648
900;3;0.80661
900;4;0.691567
900;5;0.783213
900;6;0.776673
900;7;0.936382
900;8;0.934334
900;0;1.45661
200;3;0.0107994
200;4;0.0117441
200;5;0.0139188
200;6;0.0132506
200;7;0.0138861
200;8;0.0132785
200;0;0.0178978
300;3;0.0304763
300;4;0.0333386
300;5;0.0336481
300;6;0.040024
300;7;0.0400369
300;8;0.0406205
300;0;0.0549875
400;3;0.0648429
400;4;0.0730582
400;5;0.07261
400;6;0.0893163
400;7;0.0891873
400;8;0.089305
400;0;0.12636
500;3;0.114782
500;4;0.135799
500;5;0.136473
500;6;0.166425
500;7;0.16604
500;8;0.166623
500;0;0.244605
600;3;0.207508
600;4;0.201345
600;5;0.223853
600;6;0.224376
600;7;0.279179
600;8;0.279372
600;0;0.420501
700;3;0.350629
700;4;0.32012
700;5;0.354815
700;6;0.356526
700;7;0.436606
700;8;0.436707
700;0;0.669668
800;3;0.55347
800;4;0.486063
800;5;0.539705
800;6;0.538393
800;7;0.66238
800;8;0.653357
800;0;1.02039
900;3;0.805183
900;4;0.692209
900;5;0.774803
900;6;0.775245
900;7;0.934843
900;8;0.935868
900;0;1.4571
200;3;0.0108027
200;4;0.0117778
200;5;0.0139426
200;6;0.0132642
200;7;0.0139071
200;8;0.0132718
200;0;0.0178356
300;3;0.0309142
300;4;0.0333338
300;5;0.033294
300;6;0.0401994
300;7;0.0400631
300;8;0.0402449
300;0;0.0560665
400;3;0.0654305
400;4;0.0726898
400;5;0.0726657
400;6;0.0897307
400;7;0.0891256
400;8;0.0892751
400;0;0.126528
500;3;0.1146
500;4;0.136058
500;5;0.135774
500;6;0.165794
500;7;0.166157
500;8;0.166078
500;0;0.243792
600;3;0.207292
600;4;0.202664
600;5;0.223919
600;6;0.226638
600;7;0.278933
600;8;0.28053
600;0;0.420831
700;3;0.349314
700;4;0.321646
700;5;0.354104
700;6;0.353921
700;7;0.436957
700;8;0.436167
700;0;0.669807
800;3;0.552617
800;4;0.486294
800;5;0.539574
800;6;0.538588
800;7;0.65493
800;8;0.653285
800;0;1.01799
900;3;0.810398
900;4;0.693229
900;5;0.779376
900;6;0.774855
900;7;0.934971
900;8;0.937986
